"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1981-04-26 4 39 26 1981 0 14292968.1750067 1174415.31528745 0 2428394.06792305 1184414.31528745 167205.932076954
1981-05-03 5 40 3 1981 0 15410158.2753829 840297.168343774 0 2901953.14753514 850296.168343774 0
1981-05-10 5 41 10 1981 0 16620546.1148134 1134468.84536775 0 3156429.93601417 1144467.84536775 0
1981-05-17 5 42 17 1981 0 28087631.2967414 1697321.70973974 0 3129585.42742607 1707320.70973974 0
1981-05-24 5 43 24 1981 0 55468608.7476918 2526453.83520628 0 3061954.08912645 2536452.83520628 0
1981-05-31 5 44 31 1981 0 26337960.0436029 3567027.9297769 0 3398914.00667325 3577026.9297769 0
1981-06-07 6 45 7 1981 0 31635566.5865109 3936035.54921906 0 2702934.28516742 3946034.54921906 0
1981-06-14 6 46 14 1981 0 26614612.9776696 3374633.21221097 0 3832228.25449353 3384632.21221097 0
1981-06-21 6 47 21 1981 0 29043636.3434261 2870398.65306428 0 3580355.83665755 2880397.65306428 0
1981-06-28 6 48 28 1981 0 30582864.7017612 2364131.17019067 0 3808936.45005246 2374130.17019067 0
1981-07-05 7 49 5 1981 0 70462810.9429883 1443396.49748693 0 2964500.70194744 1453395.49748693 911199.298052556
1981-07-12 7 50 12 1981 0 206439940.707328 693265.913291751 0 3390386.13335671 703264.913291751 468213.866643292
1981-07-19 7 51 19 1981 0 210927992.379754 403265.984487272 0 2941913.90305861 413264.984487272 899586.096941386
1981-07-26 7 52 26 1981 0 265113164.704502 0 0 2903811.68412216 9999 920588.31587784
1981-08-02 8 1 2 1981 0 122545555.892484 2131596.4976605 0 2477801.30539926 2141595.4976605 0
1981-08-09 8 2 9 1981 0 74698739.7354214 2131596.4976605 0 2948024.23905739 2141595.4976605 0
1981-08-16 8 3 16 1981 0 81704377.9515203 2131970.00882956 0 2183851.36133706 2141969.00882956 0
1981-08-23 8 4 23 1981 0 77210236.0500886 2131970.00882956 0 1921514.27554919 2141969.00882956 0
1981-08-30 8 5 30 1981 0 68016577.7206094 2145173.80591023 0 1672887.26705843 2155172.80591023 20312.7329415684
1981-09-06 9 6 6 1981 27723.0772054729 39550517.7391962 2816336.91169495 149879.607293497 1114236.3927065 2717129.32249245 181800
1981-09-13 9 7 13 1981 79059.4899855532 36188884.3989997 2898081.00894626 394330.938227988 913417.061772012 2645329.86422545 181800
1981-09-20 9 8 20 1981 94668.9163383058 36973594.1757136 2878699.99733269 487006.767299075 864373.232700925 2569972.27320012 181800
1981-09-27 9 9 27 1981 67096.0155780951 41093844.4269103 2890192.00879964 376588.195345828 1018423.80465417 2678043.72051944 181800
1981-10-04 10 10 4 1981 124816.874806682 30391364.8522725 3568071.77535712 509977.612304619 919939.987695382 3182099.25853892 363600
1981-10-11 10 11 11 1981 174437.660500661 30081210.9760098 3314529.88575668 709423.432031806 755399.767968194 2774446.28074209 363600
1981-10-18 10 12 18 1981 138820.528098332 29401141.8591614 2686694.57517612 569334.655478078 930394.144521922 2256087.76622108 363600
1981-10-25 10 13 25 1981 185458.154779126 28712000.1210756 2075017.79167312 777054.362102652 757580.037897348 1488382.46273624 363600
1981-11-01 11 14 1 1981 188069.858113701 28497233.4760258 1498166.55533018 799897.177234183 769642.822765817 905891.960218285 363600
1981-11-08 11 15 8 1981 0 27253866.2044181 2970938.08331453 0 2106645.73576784 2980937.08331453 2676554.26423216
1981-11-15 11 16 15 1981 0 25369377.2169409 1160844.84550531 0 1965141.48718867 1170843.84550531 2774858.51281133
1981-11-22 11 17 22 1981 0 24570696.8888951 419158.87685507 0 2144640.11081171 429157.87685507 2552159.88918829
1981-11-29 11 18 29 1981 0 24447017.4238401 345218.84433224 0 1895597.63014302 355217.84433224 2758002.36985698
1981-12-06 12 19 6 1981 0 23288010.4819544 2150261.88586807 0 1554755.81215795 2160260.88586807 1750660.38784205
1981-12-13 12 20 13 1981 15827.0789195292 21751177.7943975 911122.910609873 70421.9718660107 1499118.02813399 877803.295411896 1831210.8
1981-12-20 12 21 20 1981 38391.5058291189 20925580.4443697 483526.518980336 170258.651412937 1486545.34858706 391365.030471419 1824605.4
1981-12-27 12 22 27 1981 23697.4697253706 20516268.9491712 475804.712718856 103307.696496214 1640760.30350379 424438.322939104 1454400
1982-01-03 1 23 3 1982 53166.8437870203 23536336.6086634 7648168.09299767 174114.955200521 1573346.64479948 7562200.79100212 727200
1982-01-10 1 24 10 1982 754.385729170026 22615793.9836573 6827437.97682024 2580.27828136878 1748274.92171863 6836021.11880643 712445.078281369
1982-01-17 1 25 17 1982 0 21791066.8776184 6093316.65432427 0 1777102.3402418 6103315.65432427 686977.659758203
1982-01-24 1 26 24 1982 20236.8847273778 20983370.2629129 5409474.81083105 76237.8742463395 1681404.52575366 5379797.68102772 727200
1982-01-31 1 27 31 1982 49962.2789775277 20061638.1502497 4671912.8628761 202583.676678025 1558452.32332198 4576427.40960826 727200
1982-02-07 2 28 7 1982 24767.9458102372 18746040.582953 4011899.33034397 109652.408361171 1538061.59163883 3963830.48197626 969600
1982-02-14 2 29 14 1982 0 17533624.8960345 3016689.29652667 0 1622648.41736198 3026688.29652667 866151.582638021
1982-02-21 2 30 21 1982 0 16789373.7507337 2325025.90019071 0 1783916.86844842 2335024.90019071 592683.131551579
1982-02-28 2 31 28 1982 0 16137868.7041997 1769920.44957876 0 2424279.56701747 1779919.44957876 0
1982-03-07 3 32 7 1982 0 16109024.9760957 1816026.3657012 0 3827669.42748885 1826025.3657012 0
1982-03-14 3 33 14 1982 0 15817753.9427344 2068839.0678149 0 1883855.96336776 2078838.0678149 1272744.03663224
1982-03-21 3 34 21 1982 0 14626894.155188 1165146.18855222 0 1882206.81675908 1175145.18855222 1175093.18324092
1982-03-28 3 35 28 1982 0 13567846.981129 426214.616865695 0 1753576.68643651 436213.616865695 1204423.31356349
1982-04-04 4 36 4 1982 0 13252117.5517698 331675.630450912 0 2769299.70261596 341674.630450912 7200.29738404136
1982-04-11 4 37 11 1982 0 13148802.7801174 566577.32251 0 1644343.55961308 576576.32251 1071856.44038692
1982-04-18 4 38 18 1982 0 12856161.0582581 350405.185411428 0 1975577.83805199 360404.185411428 680322.161948011
1982-04-25 4 39 25 1982 0 12754668.9683093 292081.569870126 0 2389484.71001504 302080.569870126 206115.289984961
1982-05-02 5 40 2 1982 0 13572425.532924 595574.797378976 0 2639862.82491615 605573.797378976 0
1982-05-09 5 41 9 1982 0 14752802.9886856 1075910.58833981 0 3194060.02797948 1085909.58833981 0
1982-05-16 5 42 16 1982 0 16119009.9001662 1720018.55204206 0 3174249.75728775 1730017.55204206 0
1982-05-23 5 43 23 1982 0 18401354.0563786 2737032.3284074 0 3087347.74137469 2747031.3284074 0
1982-05-30 5 44 30 1982 0 21233585.764354 3882878.22845083 0 3335331.50031603 3892877.22845083 0
1982-06-06 6 45 6 1982 0 24121682.7298519 3864368.29512793 0 2846196.18400473 3874367.29512793 0
1982-06-13 6 46 13 1982 0 26748514.2872406 4586916.00964831 0 4085701.37154002 4596915.00964831 0
1982-06-20 6 47 20 1982 0 28506348.2771384 4901755.78955179 0 4633199.27788654 4911754.78955179 0
1982-06-27 6 48 27 1982 0 30827969.0622887 3965774.42403922 0 4676252.83150129 3975773.42403922 0
1982-07-04 7 49 4 1982 0 34254140.4418897 2120873.21205503 0 4607233.31775463 2130872.21205503 0
1982-07-11 7 50 11 1982 0 36657103.3210609 2254159.46874104 0 4626269.77493323 2264158.46874104 0
1982-07-18 7 51 18 1982 0 37803898.154791 1391520.86099765 0 4331660.22040729 1401519.86099765 0
1982-07-25 7 52 25 1982 0 137812374.952266 0 0 3400616.87056281 9999 423783.129437187
1982-08-01 8 1 1 1982 0 126666397.129803 3595789.90805299 0 3140591.8544213 3605788.90805299 0
1982-08-08 8 2 8 1982 0 163263066.285837 3287420.50444137 0 3425349.38918751 3297419.50444137 0
1982-08-15 8 3 15 1982 0 145387039.834099 2878846.94063081 0 3195761.79017063 2888845.94063081 0
1982-08-22 8 4 22 1982 0 111244572.822583 2461030.2519684 0 3297696.93885658 2471029.2519684 0
1982-08-29 8 5 29 1982 0 72190034.929935 2214855.53750471 0 2013403.03997917 2224854.53750471 0
1982-09-05 9 6 5 1982 39743.194237684 36760447.3153076 2847265.13818946 200871.082009362 1063244.91799064 2721807.69585964 181800
1982-09-12 9 7 12 1982 27710.0451342091 41362414.1613113 2908247.58826699 156541.011674212 1151206.98832579 2812775.6558016 181800
